number,substituent
403,C_6_H_4-3-Br
404,C_6_H_4-4-Br
405,C_6_H_4-3-Cl
406,C_6_H_4-4-Cl
407,C_6_H_4-3-F
408,C_6_H_4-4-F
409,OC_6_H_4-4-F
410,C_6_H_4-3-I
411,C_6_H_4-4-I
412,C_6_H_4-3-NO_2
413,C_6_H_4-4-NO_2
414,SC_6_H_4-4-NO_2
415,SOC_6_H_4-4-NO_2
416,2-benzotriazolyl
417,C_6_H_5
418,N(O)=NS)_2_C_6_H_5
419,N=NC_6_H_5
420,OC_6_H_5
421,SOC_6_H_5
422,2-(5-acetylguryl)
423,2-(6-methylpyronyl)
424,SO_2_C_6_H_5
425,SC_6_H_5
426,SC_6H_5
427,NHC_6H_5
428,HNSO_2C_6H_5
429,SO_2NHC_6H_5
430,2-(5-ethylfuryl)
431,"1-(2,5-dimethylpyrryl)"
432,1-cyclohexenyl
433,cyclohexyl
434,N(C_3H_7)_2
435,(CH_2)_4NMe_2
436,PO(isopropyl)_2
437,P(isopropyl)_2
438,P(O)(OPr)_2
439,Ge(Et)_3
440,(CH_2)_3N(Me)_3+
441,Si(OEt)_3
442,P(Et)_3+
443,Sn(Et)_3
444,P(=NSO_2CF_3)(C_3F_7)_2
445,Si(NMe_2)_3
446,2-benzoxazolyl
447,2-benzthiazolyl
448,COC_6H_5
449,OCOC_6H_5
450,COOC_6H_5
451,N\=CHC_6H_5
452,CH\=NC_6H_5
453,NHCOC_6H_5
454,CONHC_6H_5
455,C_6H_4-4-Me
456,CH_2C_6H_5
457,N=NC_6H_3-5-Me-2-OH
458,C_6H_4-4-OMEe
459,CH(OH)C_6H_5
460,CH_2OC_6H_5
461,CH_2SO_2C_6H_5
462,C(Et)_3
463,(CH_2)_6CH_3
464,SiMe(OSi(Me)_3)_2
465,CF_2CF_2C_6H_4-4-F
466,C///CC_6H_5
467,CH=NCOC_6H_5
468,CH=CHC_6H_5
469,CH_2Fe(CO)_2(?-C_5H_5)
470,CH=NNHCOC_6H_5
471,N=CHC_6H_4-4-OMe
472,NHCOC_6H_4-4-OMe
473,SCH=NSO_2C_6H_4-4-Me
474,C_6H_4-4-Et
475,CH_2CH_2C_6H_5
476,N=C(Me)NHC_6H_5
477,Si(C_6H_5)(Me)_2
478,S(Me)=NSO_2C_6H_4-4-Me
479,"2,4,6-trimethylpyridinium"
